tipoInversion,clave,valor
"BANC","CNOM","CUENTA DE NÓMINA"
"BANC","CAHO","CUENTA DE AHORRO"
"BANC","CCHE","CUENTA DE CHEQUES"
"BANC","CMAS","CUENTA MAESTRA"
"BANC","CEJE","CUENTA EJE"
"BANC","DPLA","DEPÓSITO A PLAZOS"
"FINV","SOIN","SOCIEDADES DE INVERSIÓN"
"FINV","IFEX","INVERSIONES FINANCIERAS EN EL EXTRANJERO"
"ORPM","ACCI","ACCIONES"
"ORPM","CSAH","CAJAS DE AHORRO"
"POMM","CENT","CENTENARIOS"
"POMM","DIVS","DIVISAS"
"POMM","MONN","MONEDA NACIONAL"
"POMM","ONZT","ONZAS TROY"
"POMM","CRIP","CRIPTOMONEDAS"
"SEGR","SSIN","SEGURO DE SEPARACIÓN INDIVIDUALIZADO"
"SEGR","SEGI","SEGURO DE INVERSIÓN"
"SEGR","SEGV","SEGURO DE VIDA"
"VBUR","ADER","ACCIONES Y DERIVADOS"
"VBUR","ABAN","ACEPTACIONES BANCARIAS"
"VBUR","BGUB","BONOS GUBERNAMENTALES"
"VBUR","PCOM","PAPEL COMERCIAL"
"AFOT","AFOR","AFORES"
"AFOT","FIDE","FIDEICOMISOS"
"AFOT","CTES","CERTIFICADOS DE LA TESORERÍA"
"AFOT","PFTE","PRÉSTAMOS A FAVOR DE UN TERCERO"
