clave,valor
"NAD","NEGLIGENCIA ADMINISTRATIVA"
"VPC","VIOLACION PROCEDIMIENTOS DE CONTRATACION"
"VLNP","VIOLACION LEYES Y NORMATIVIDAD PRESUPUESTAL"
"AUT","ABUSO DE AUTORIDAD"
"CEX","COHECHO O EXTORSION"
"IDSP","INCUMPLIMIENTO EN DECLARACION DE SITUACION PATRIMONIAL"
"DCSP","DELITO COMETIDO POR SERVIDORES PUBLICOS"
"EIFM","EJERCICIO INDEBIDO DE SUS FUNCIONES EN MATERIA MIGRATORIA"
"VDH","VIOLACIÓN A LOS DERECHOS HUMANOS"
"AG","ADMINISTRATIVA GRAVE"
"ANG","ADMINISTRATIVA NO GRAVE"
"AC","ACTO DE CORRUPCIÓN"
"OTRO","OTRO"
"HSEX","COMETER O TOLERAR CONDUCTAS DE HOSTIGAMIENTO SEXUAL"
"ASEX","COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL"
"PEC","PECULADO"
"DRP","DESVÍO DE RECURSOS PÚBLICOS"
"UII","UTILIZACIÓN INDEBIDA DE INFORMACIÓN"
"AFN","ABUSO DE FUNCIONES"
"ABCI","ACTUACIÓN BAJO CONFLICTO DE INTERÉS"
"CIND","CONTRATACIÓN INDEBIDA"
"EOCI","ENRIQUECIMIENTO OCULTO U OCULTAMIENTO DE CONFLICTO DE INTERÉS"
"TINF","TRÁFICO DE INFLUENCIAS"
"ENCB","ENCUBRIMIENTO"
"DSCT","DESACATO"
"OJUST","OBSTRUCCIÓN DE LA JUSTICIA"
