codigo,valor
ALGIJOIE,Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales
ACEAAFPC,Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza
COMMAYOR,Comercio al por mayor
COMMENOR,Comercio al por menor
CONST,Construcción
CORP,Corporativos
GTDEESAGDCF,Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final
INDMAN,Industrias manufactureras
IMM,Información en medios masivos
MIN,Minería
OTRO,Otro (especifique)
OSEAG,Otros servicios excepto actividades gubernamentales
SATPAB,Servicios de alojamiento temporal y de preparación de alimentos y bebidas
SANMDSR,Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación
SECDOSR,Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos
SSAS,Servicios de salud y de asistencia social
SERVEDU,Servicios educativos
SFS,Servicios financieros y seguros
SIABMI,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles
SPCT,Servicios profesionales, científicos y técnicos
TCA,Transportes, correos y almacenamiento
