codigo,valor
"AGRI","AGRICULTURA"
"MIN","MINERÍA"
"EELECT","ENERGÍA ELÉCTRICA"
"CONS","CONSTRUCCIÓN"
"INDMANU","INDUSTRIA MANUFACTURERA"
"CMAYOR","COMERCIO AL POR MAYOR"
"CMENOR","COMERCIO AL POR MENOR"
"TRANS","TRANSPORTE"
"MEDIOM","MEDIOS MASIVOS"
"SERVFIN","SERVICIOS FINANCIEROS"
"SERVINM","SERVICIOS INMOBILIARIOS"
"SERVPROF","SERVICIOS PROFESIONALES"
"SERVCORP","SERVICIOS CORPORATIVOS"
"SERVS","SERVICIOS DE SALUD"
"SERVESPAR","SERVICIOS DE ESPARCIMIENTO"
"SERVALOJ","SERVICIOS DE ALOJAMIENTO"
"OTRO","OTRO (ESPECIFIQUE)"
